,year,stock,price,count,return,action
29,2007,3702,27.97,160.0,2.364327979712595,sell
22,2007,2606,66.79,59.0,2.102959697732998,sell
20,2007,6116,12.34,295.0,1.928125,sell
21,2007,2362,39.14,71.0,1.4853889943074003,sell
30,2007,2409,53.31,51.0,1.4439328277356445,sell
35,2007,2915,26.02,89.0,1.2361045130641328,sell
32,2007,3189,87.24,26.0,1.2120033342595165,sell
47,2007,1103,18.98,100.0,1.0095744680851064,sell
27,2007,2323,11.3,165.0,0.9868995633187775,sell
76,2008,5203,108.85,16.0,0.9834658474882543,sell
