,year,stock,price,count,return,action
108,2005,2474,109.89,29.0,3.517605633802817,sell
93,2005,2315,33.51,81.0,2.9654867256637165,sell
131,2006,3189,71.98,34.0,2.6541297935103247,sell
168,2007,1304,16.35,139.0,2.5,sell
203,2007,2360,48.75,44.0,2.3897058823529416,sell
177,2007,3702,27.97,77.0,2.3643279797125953,sell
136,2006,9933,22.04,97.0,2.3397027600849256,sell
133,2006,2328,84.9,23.0,2.183641975308642,sell
161,2006,1216,22.89,85.0,2.1372549019607843,sell
78,2005,2454,250.95,7.0,2.066963182604398,sell
