year,stock,price,count,return,action
1998,5701,27.55,18.0,0.0,buy
1998,2604,20.81,25.0,0.0,buy
1998,2340,41.79,12.0,0.0,buy
1998,1462,32.12,16.0,0.0,buy
1998,1522,21.08,24.0,0.0,buy
1998,1907,6.13,85.0,0.0,buy
1998,2322,33.38,15.0,0.0,buy
1998,1409,10.45,49.0,0.0,buy
1998,2359,23.54,22.0,0.0,buy
1998,1513,6.38,81.0,0.0,buy
1998,2905,16.04,32.0,0.0,buy
1998,1717,9.72,53.0,0.0,buy
1998,2368,26.19,19.0,0.0,buy
1998,4424,38.0,13.0,0.0,buy
1998,2386,21.82,23.0,0.0,buy
1998,3037,10.81,48.0,0.0,buy
1998,2380,20.67,25.0,0.0,buy
1998,2314,13.49,38.0,0.0,buy
1998,1304,10.25,50.0,0.0,buy
1998,5343,20.28,25.0,0.0,buy
1998,2422,47.03,11.0,0.0,buy
1998,9908,8.71,59.0,0.0,buy
1998,2333,50.61,10.0,0.0,buy
1998,1305,14.62,35.0,0.0,buy
1998,1507,18.42,28.0,0.0,buy
1998,1520,11.86,44.0,0.0,buy
1998,2608,20.4,25.0,0.0,buy
1998,2706,44.08,11.0,0.0,buy
1998,2010,4.82,108.0,0.0,buy
1998,9933,14.6,35.0,0.0,buy
1998,2526,10.38,50.0,0.0,buy
1998,1716,31.84,16.0,0.0,buy
1998,9801,34.93,14.0,0.0,buy
1998,5307,27.96,18.0,0.0,buy
1998,1460,18.8,27.0,0.0,buy
1998,1110,7.49,69.0,0.0,buy
1998,5605,29.56,17.0,0.0,buy
1999,5701,26.24,19.0,0.0,buy
1999,2367,21.56,23.0,0.0,buy
1999,2103,5.42,94.0,0.0,buy
1999,1313,12.1,42.0,0.0,buy
1999,1227,9.58,53.0,0.0,buy
1999,2427,32.48,15.0,0.0,buy
1999,1704,7.38,69.0,0.0,buy
1999,2394,27.45,18.0,0.0,buy
1999,2014,6.71,76.0,0.0,buy
1999,2360,25.97,19.0,0.0,buy
1999,2340,39.7,12.0,0.0,buy
1999,2321,38.26,13.0,0.0,buy
1999,9921,11.62,44.0,0.0,buy
1999,9908,6.76,75.0,0.0,buy
1999,2333,71.79,10.0,1.4184943687018376,sell
1999,2489,11.44,44.0,0.0,buy
1999,5307,16.98,30.0,0.0,buy
1999,1507,11.17,28.0,0.6064060803474485,sell
1999,2413,49.11,10.0,0.0,buy
1999,2368,24.08,21.0,0.0,buy
1999,2422,37.02,11.0,0.7871571337444184,sell
1999,2301,11.27,45.0,0.0,buy
1999,2604,15.41,25.0,0.7405093704949544,sell
1999,2354,28.41,18.0,0.0,buy
1999,2015,6.26,82.0,0.0,buy
1999,2341,114.68,4.0,0.0,buy
1999,2707,33.12,15.0,0.0,buy
1999,1207,26.58,19.0,0.0,buy
1999,2101,23.98,21.0,0.0,buy
1999,2314,34.93,38.0,2.5893254262416603,sell
1999,1304,12.72,50.0,1.2409756097560976,sell
1999,2404,15.47,33.0,0.0,buy
1999,2905,17.76,28.0,0.0,buy
1999,2359,38.96,22.0,1.6550552251486832,sell
1999,5351,40.96,12.0,0.0,buy
1999,2322,37.83,15.0,1.133313361294188,sell
1999,1513,6.18,83.0,0.0,buy
1999,2010,5.09,101.0,0.0,buy
1999,1716,15.11,34.0,0.0,buy
1999,9801,47.57,14.0,1.3618665903235043,sell
1999,1503,18.31,28.0,0.0,buy
1999,2430,14.68,35.0,0.0,buy
1999,2520,8.4,61.0,0.0,buy
1999,1409,8.31,62.0,0.0,buy
1999,9933,8.24,35.0,0.5643835616438356,sell
1999,1726,24.21,21.0,0.0,buy
1999,5605,18.77,17.0,0.6349797023004059,sell
1999,1907,6.23,82.0,0.0,buy
1999,2390,45.02,11.0,0.0,buy
1999,2386,74.22,23.0,3.4014665444546286,sell
1999,3037,17.45,48.0,1.614246068455134,sell
1999,2398,58.56,8.0,0.0,buy
1999,2526,8.19,50.0,0.7890173410404624,sell
1999,2706,48.75,10.0,0.0,buy
1999,9907,6.38,81.0,0.0,buy
2000,2403,12.45,40.0,0.0,buy
2000,2411,18.5,27.0,0.0,buy
2000,2608,9.16,55.0,0.0,buy
2000,1905,7.11,70.0,0.0,buy
2000,1710,3.47,145.0,0.0,buy
2000,1201,7.43,67.0,0.0,buy
2000,1314,3.77,133.0,0.0,buy
2000,2321,15.68,32.0,0.0,buy
2000,2355,6.58,76.0,0.0,buy
2000,2501,5.8,86.0,0.0,buy
2000,1503,13.69,28.0,0.7476788640087385,sell
2000,9921,18.46,44.0,1.5886402753872635,sell
2000,2439,20.0,25.0,0.0,buy
2000,2534,4.33,116.0,0.0,buy
2000,1103,6.15,82.0,0.0,buy
2000,3046,29.19,17.0,0.0,buy
2000,2316,21.86,23.0,0.0,buy
2000,1313,3.3,152.0,0.0,buy
2000,5305,7.26,69.0,0.0,buy
2000,2331,10.02,50.0,0.0,buy
2000,5351,17.89,28.0,0.0,buy
2000,9910,7.15,70.0,0.0,buy
2000,2908,7.2,70.0,0.0,buy
2000,5471,22.64,22.0,0.0,buy
2000,9945,5.36,94.0,0.0,buy
2000,2373,24.99,20.0,0.0,buy
2000,2394,15.5,18.0,0.5646630236794171,sell
2000,2328,6.7,75.0,0.0,buy
2000,2336,8.66,58.0,0.0,buy
2000,1229,4.57,110.0,0.0,buy
2000,2398,36.53,8.0,0.6238046448087432,sell
2000,2010,3.56,141.0,0.0,buy
2000,2380,19.53,25.0,0.9448476052249637,sell
2000,2365,6.26,80.0,0.0,buy
2000,9925,9.36,53.0,0.0,buy
2000,1716,13.25,38.0,0.0,buy
2000,2430,8.34,60.0,0.0,buy
2000,9941,12.15,41.0,0.0,buy
2000,2354,7.57,66.0,0.0,buy
2000,1304,3.99,126.0,0.0,buy
2000,2006,5.24,96.0,0.0,buy
2000,2301,8.71,45.0,0.7728482697426798,sell
2000,2314,29.26,17.0,0.0,buy
2000,1714,7.84,64.0,0.0,buy
2000,2444,45.72,11.0,0.0,buy
2000,3026,20.83,24.0,0.0,buy
2000,2338,4.72,107.0,0.0,buy
2000,2427,14.9,33.0,0.0,buy
2000,1319,9.03,55.0,0.0,buy
2000,1704,5.61,90.0,0.0,buy
2000,9933,6.21,81.0,0.0,buy
2000,2477,13.06,38.0,0.0,buy
2000,2359,14.95,33.0,0.0,buy
2000,2416,19.5,25.0,0.0,buy
2000,2340,15.95,31.0,0.0,buy
2000,5326,27.97,18.0,0.0,buy
2000,2029,6.67,75.0,0.0,buy
2000,1210,4.32,116.0,0.0,buy
2000,2418,5.61,90.0,0.0,buy
2000,2315,8.65,58.0,0.0,buy
2000,2360,8.64,58.0,0.0,buy
2000,2402,21.83,23.0,0.0,buy
2000,2614,2.92,173.0,0.0,buy
2000,9801,8.72,57.0,0.0,buy
2000,1234,10.03,50.0,0.0,buy
2000,2485,14.31,35.0,0.0,buy
2000,1717,7.29,53.0,0.7499999999999999,sell
2000,1513,4.82,104.0,0.0,buy
2000,2319,12.6,40.0,0.0,buy
2000,3040,25.43,19.0,0.0,buy
2000,5203,40.44,12.0,0.0,buy
2000,2913,11.66,43.0,0.0,buy
2000,2504,2.39,211.0,0.0,buy
2000,2390,31.39,11.0,0.697245668591737,sell
2000,9917,14.59,34.0,0.0,buy
2000,1311,8.87,57.0,0.0,buy
2000,1527,17.57,28.0,0.0,buy
2000,2366,9.1,55.0,0.0,buy
2000,2473,25.76,19.0,0.0,buy
2000,2905,10.56,28.0,0.5945945945945946,sell
2000,3041,17.77,28.0,0.0,buy
2000,2457,9.87,51.0,0.0,buy
2000,1440,3.03,166.0,0.0,buy
2000,2023,2.4,210.0,0.0,buy
2000,2396,24.32,20.0,0.0,buy
2000,9908,7.5,67.0,0.0,buy
2000,1312,9.73,51.0,0.0,buy
2000,2606,2.6,194.0,0.0,buy
2000,2489,5.67,89.0,0.0,buy
2000,2106,4.9,103.0,0.0,buy
2000,5349,17.63,28.0,0.0,buy
