,year,stock,price,count,return,action
254,2001,2331,77.93,50.0,7.77744510978044,sell
262,2001,2377,51.61,49.0,5.015549076773566,sell
344,2002,2023,12.03,210.0,5.012499999999999,sell
528,2006,9945,24.63,91.0,4.673624288425048,sell
314,2002,2029,22.92,75.0,3.436281859070465,sell
86,1999,2386,74.22,23.0,3.4014665444546286,sell
263,2001,3046,98.76,17.0,3.383350462487153,sell
243,2001,2489,18.47,89.0,3.257495590828924,sell
384,2003,2474,29.43,50.0,3.0881427072402943,sell
458,2004,2504,7.26,211.0,3.03765690376569,sell
