,year,stock,price,count,return,action
26,2006,2342,58.74,99.0,4.051034482758621,sell
70,2007,3702,27.97,121.0,2.364327979712595,sell
101,2007,2374,40.32,71.0,2.016,sell
97,2007,2103,33.79,79.0,1.9408385985066052,sell
50,2006,9904,25.79,107.0,1.9217585692995527,sell
42,2006,1605,15.6,145.0,1.5821501014198784,sell
44,2006,2451,68.13,30.0,1.4532849829351533,sell
28,2006,2023,12.04,169.0,1.4214876033057848,sell
82,2007,2393,101.55,19.0,1.3987603305785126,sell
43,2006,3231,31.1,59.0,1.2845931433292028,sell
