,year,stock,price,count,return,action
57,2008,9933,20.01,158.0,1.0964383561643838,sell
64,2008,1216,24.31,86.0,0.7282804074295984,sell
70,2008,2014,9.91,191.0,0.6532630191166777,sell
76,2008,1101,24.4,75.0,0.6350858927641854,sell
73,2008,2337,7.37,249.0,0.6331615120274914,sell
59,2008,2105,19.71,92.0,0.6295113382305974,sell
35,2008,1313,9.18,189.0,0.6015727391874182,sell
56,2008,2002,19.87,86.0,0.593488649940263,sell
31,2008,2349,4.26,382.0,0.5627476882430646,sell
46,2008,2615,14.15,113.0,0.5557737627651218,sell
