,year,stock,price,count,return,action
68,2001,2379,105.04,16.0,2.9900370054084826,sell
206,2005,2354,90.21,16.0,2.6377192982456137,sell
50,2001,2355,16.37,86.0,2.487841945288754,sell
132,2003,2495,30.64,45.0,2.47696038803557,sell
55,2001,2394,36.76,36.0,2.3716129032258064,sell
61,2001,2332,27.37,48.0,2.355421686746988,sell
217,2005,2328,38.88,31.0,2.1612006670372432,sell
63,2001,2328,14.36,84.0,2.143283582089552,sell
223,2006,3062,62.01,18.0,2.0906945380984494,sell
194,2005,2454,250.95,4.0,2.066963182604398,sell
