year,stock,stock_name,open_price,close_price,return
2001,2331,精英,10.02,77.93,7.77744510978044
2009,8069,元太,14.15,84.2,5.950530035335689
2001,2377,微星,10.29,51.61,5.015549076773567
2009,8299,群聯,47.23,221.24,4.684310819394454
2009,3083,網龍,93.12,424.0,4.553264604810996
2009,2384,勝華,6.42,28.5,4.4392523364485985
2009,2448,晶電,28.96,117.57,4.059737569060773
2006,2342,茂矽,14.5,58.74,4.051034482758621
2009,2542,興富發,11.42,42.91,3.7574430823117337
2009,3702,大聯大,12.4,45.92,3.703225806451613
2009,3034,聯詠,27.75,101.08,3.6425225225225226
2001,2345,智邦,15.19,54.31,3.5753785385121795
2009,3044,健鼎,29.99,105.65,3.5228409469823276
2005,2474,可成,31.24,109.89,3.517605633802817
2009,3037,欣興,13.0,45.25,3.480769230769231
2001,3046,建碁,29.19,98.76,3.383350462487153
2009,3474,華亞科,7.91,26.45,3.343868520859671
2001,2489,瑞軒,5.67,18.47,3.257495590828924
2009,2374,佳能,18.12,58.61,3.234547461368653
2005,3008,大立光,127.47,404.62,3.174237075390288
2009,2344,華邦電,3.09,9.77,3.161812297734628
2009,2379,瑞昱,30.58,94.5,3.090255068672335
2009,5522,遠雄,20.9,64.52,3.0870813397129186
2009,2352,佳世達,6.5,20.05,3.0846153846153848
2009,2915,潤泰全,18.52,56.8,3.0669546436285096
2003,2606,裕民,4.55,13.79,3.0307692307692307
2007,5483,中美晶,59.38,178.6,3.0077467160660154
2009,2101,南港,13.8,41.5,3.0072463768115942
2001,2379,瑞昱,35.13,105.04,2.9900370054084826
2005,2315,神達,11.3,33.51,2.9654867256637165
2002,2204,中華,15.03,43.88,2.9194943446440456
2009,2105,正新,19.71,57.39,2.9117199391171993
2009,5371,中光電,15.09,43.67,2.893969516235918
2009,2393,億光,39.83,114.93,2.8855134320863676
2009,3189,景碩,28.82,82.7,2.8695350451075643
2009,2327,國巨,4.08,11.7,2.867647058823529
2009,2106,建大,11.72,33.35,2.8455631399317407
2002,1710,東聯,4.27,12.11,2.836065573770492
2006,8299,群聯,45.9,129.47,2.8206971677559913
2001,2310,旭麗,13.42,37.7,2.8092399403874815
2006,2354,鴻準,90.21,251.75,2.790710564238998
2009,2376,技嘉,10.44,29.08,2.78544061302682
2009,3231,緯創,20.22,56.24,2.7814045499505444
2001,2418,雅新,5.61,15.56,2.7736185383244205
2005,8078,華寶,33.61,93.17,2.7720916393930377
2009,3195,統寶,4.12,11.37,2.759708737864077
2002,1434,福懋,5.41,8.39,1.5508317929759705
2006,2607,榮運,11.24,17.43,1.550711743772242
2009,3443,創意,107.45,166.61,1.5505816658911122
2002,1301,台塑,13.85,21.39,1.544404332129964
2003,1402,遠東新,6.58,10.16,1.5440729483282676
2001,2477,美隆電,13.06,20.12,1.5405819295558958
2007,2615,萬海,16.56,25.46,1.5374396135265702
2009,9933,中鼎,20.01,30.64,1.5312343828085957
2006,2103,台橡,11.38,17.41,1.5298769771528997
2006,6239,力成,55.47,84.86,1.5298359473589327
2006,1229,聯華,8.91,13.62,1.5286195286195285
2003,2324,仁寶,16.92,25.81,1.5254137115839241
2001,2436,偉詮電,18.27,27.86,1.524904214559387
2003,1905,華紙,8.54,13.01,1.5234192037470726
2001,1311,福聚,8.87,13.51,1.5231116121758739
2007,6505,台塑化,57.32,81.97,1.4300418702023727
2009,2315,神達,11.58,16.55,1.4291882556131261
2001,2905,三商行,10.56,15.08,1.428030303030303
2007,1402,遠東新,23.67,33.8,1.4279678918462186
2006,1402,遠東新,16.59,23.67,1.4267631103074143
2004,9921,巨大,23.09,32.88,1.4239930705933306
2001,2439,美律,20.0,28.45,1.4224999999999999
2006,2023,燁輝,8.47,12.04,1.4214876033057848
2003,9904,寶成,12.03,17.09,1.4206151288445554
2003,1102,亞泥,6.46,9.17,1.4195046439628483
2007,2332,友訊,36.34,51.57,1.419097413318657
2002,1717,長興,6.61,9.38,1.4190620272314676
2006,3041,揚智,34.87,49.47,1.4186980212216806
2009,2707,晶華,258.24,366.31,1.4184866790582404
2006,6188,廣明,26.91,38.17,1.4184318097361577
2007,9921,巨大,36.24,51.37,1.417494481236203
2003,2357,華碩,122.97,174.29,1.4173375620069935
2002,1304,台聚,4.08,5.78,1.4166666666666667
2005,2912,統一超,35.6,50.42,1.4162921348314608
2001,2427,三商電,14.9,21.1,1.4161073825503356
2003,3012,廣輝,10.79,15.27,1.4151992585727526
2006,3044,健鼎,59.86,84.67,1.4144670898763783
2009,3532,台勝科,61.09,86.3,1.4126698313963004
2001,5349,先豐,17.63,24.88,1.4112308564946114
2005,2534,宏盛,10.36,14.61,1.4102316602316602
2003,2603,長榮,12.8,18.05,1.41015625
2003,2458,義隆,15.87,22.36,1.408947700063012
2003,5305,敦南,10.4,14.65,1.408653846153846
2001,2401,凌陽,56.34,63.73,1.1311679091231805
2007,2912,統一超,60.67,68.45,1.1282347123784409
2006,2303,聯電,18.34,20.67,1.1270447110141768
2005,2350,環電,8.28,9.33,1.1268115942028987
2006,5387,茂德,11.7,13.18,1.1264957264957265
2002,1802,台玻,11.09,12.49,1.1262398557258793
2007,3041,揚智,49.47,55.65,1.1249241964827168
2002,2384,勝華,12.25,13.78,1.1248979591836734
2004,1319,東陽,35.22,36.36,1.0323679727427597
2004,1311,福聚,21.44,22.12,1.0317164179104477
2004,2609,陽明,19.17,19.77,1.031298904538341
2004,1304,台聚,7.99,8.24,1.0312891113892366
2004,1905,華紙,13.01,13.4,1.0299769408147579
2005,2201,裕隆,29.93,30.81,1.029401937854995
2006,2439,美律,59.97,61.72,1.0291812572953143
2007,3010,華立,48.23,49.59,1.0281982168774624
2003,1717,長興,9.38,9.13,0.9733475479744137
2003,2313,華通,17.74,17.26,0.9729425028184895
2005,1402,遠東新,17.06,16.59,0.9724501758499414
2003,2319,大眾,10.87,10.56,0.97148114075437
2007,2542,興富發,20.63,20.04,0.9714008725157538
2000,2615,萬海,8.11,7.75,0.9556103575832307
2007,3062,建漢,62.01,59.25,0.9554910498306725
2004,1504,東元,8.51,8.13,0.955346650998825
2004,1507,永大,14.96,14.29,0.9552139037433154
2002,2422,國聯,18.53,17.7,0.9552077711818672
2004,2441,超豐,14.7,14.04,0.9551020408163265
2004,6282,康舒,21.17,20.13,0.9508738781294284
2008,2912,統一超,68.45,65.08,0.9507669831994155
2003,3024,憶聲,20.42,19.4,0.950048971596474
2002,2316,楠梓電,15.29,14.52,0.9496402877697842
2003,1522,堤維西,33.01,31.32,0.948803392911239
2001,1440,南紡,3.03,2.87,0.9471947194719473
2003,9921,巨大,24.45,23.09,0.9443762781186095
2002,2418,雅新,15.56,14.65,0.9415167095115681
2006,2363,矽統,38.37,36.12,0.9413604378420641
2003,2908,特力,14.41,13.55,0.9403192227619709
2008,3045,台灣大,44.02,41.39,0.9402544298046343
2001,1326,台化,10.12,9.51,0.9397233201581028
2002,2386,國電,102.1,95.89,0.939177277179236
2006,9910,豐泰,22.13,20.74,0.9371893357433349
2004,2418,雅新,26.05,24.38,0.9358925143953934
2004,2350,環電,8.85,8.28,0.9355932203389831
2004,2337,旺宏,9.99,9.34,0.9349349349349348
2003,2915,潤泰全,14.38,13.44,0.9346314325452015
2000,2317,鴻海,32.06,29.94,0.9338739862757329
2003,2386,國電,95.89,89.5,0.933361142976327
2004,2402,毅嘉,34.33,32.03,0.933003204194582
2000,2002,中鋼,7.01,6.53,0.9315263908701855
2004,9904,寶成,17.09,15.32,0.8964306612053833
2006,2331,精英,21.12,18.93,0.8963068181818181
2006,9921,巨大,40.45,36.24,0.8959208899876391
2002,2385,群光,14.3,12.81,0.8958041958041958
2002,2328,廣宇,14.36,12.86,0.8955431754874652
2005,2382,廣達,34.53,30.88,0.8942948161019403
2005,2204,中華,32.05,28.66,0.8942277691107645
2003,1507,永大,16.73,14.96,0.8942020322773461
2002,2352,佳世達,40.31,36.04,0.8940709501364424
2001,2371,大同,11.8,10.55,0.8940677966101696
2007,2312,金寶,11.18,9.98,0.892665474060823
2002,1722,台肥,13.34,11.88,0.8905547226386807
2001,2337,旺宏,35.67,31.72,0.8892626857303055
2009,5387,茂德,2.43,2.16,0.8888888888888888
2001,9921,巨大,18.46,16.23,0.8791982665222101
2007,6176,瑞儀,36.33,31.91,0.8783374621524911
2003,2489,瑞軒,15.44,13.56,0.8782383419689119
2000,1716,永信,15.11,13.25,0.8769027134348114
2005,9904,寶成,15.32,13.42,0.8759791122715405
2006,1520,D 復盛,34.31,29.31,0.8542698921597202
2007,2204,中華,27.65,23.58,0.8528028933092224
2007,2303,聯電,20.67,17.61,0.8519593613933235
2005,1729,必翔,52.5,44.61,0.8497142857142858
2000,3035,智原,43.75,37.11,0.8482285714285714
2002,5522,遠雄,10.71,9.07,0.8468720821661998
2004,2454,聯發科,143.37,121.41,0.8468298807281858
2005,5522,遠雄,19.54,16.53,0.8459570112589561
2002,3019,亞光,90.61,76.2,0.8409667807085311
2002,2356,英業達,9.98,8.39,0.8406813627254509
2005,2002,中鋼,17.55,14.73,0.8393162393162393
2000,2314,台揚,34.93,29.26,0.8376753507014029
2004,3026,禾伸堂,27.23,22.79,0.8369445464561145
2002,2489,瑞軒,18.47,15.44,0.8359501894964808
2001,2604,立榮,10.88,8.97,0.8244485294117647
2007,2607,榮運,17.43,14.36,0.8238668961560528
2000,2903,遠百,7.24,5.96,0.8232044198895028
2007,1440,南紡,14.23,11.68,0.8208011243851019
2001,2006,東鋼,5.24,4.3,0.8206106870229007
2008,4904,遠傳,39.75,32.58,0.8196226415094339
2003,2379,瑞昱,74.35,60.38,0.812104909213181
2004,2401,凌陽,56.32,45.73,0.8119673295454545
2006,2313,華通,18.27,14.8,0.8100711548987412
2003,3006,晶豪科,44.23,35.79,0.80917929007461
2006,8008,建興電,31.34,25.33,0.8082322910019144
2001,1216,統一,11.34,7.31,0.644620811287478
2000,2506,太設,12.7,8.18,0.6440944881889764
2000,2395,研華,44.96,28.75,0.6394572953736655
2002,3037,欣興,18.57,11.87,0.6392030156165859
2005,2029,盛餘,28.41,18.06,0.6356916578669483
2000,2436,偉詮電,28.75,18.27,0.6354782608695652
2008,1101,台泥,38.42,24.4,0.6350858927641853
2008,2308,台達電,90.43,57.26,0.6331969479155147
2008,2337,旺宏,11.64,7.37,0.6331615120274914
2008,2103,台橡,33.79,21.36,0.6321396862977212
2004,3231,緯創,14.52,8.83,0.6081267217630855
2008,2312,金寶,9.98,6.05,0.6062124248496994
2000,1227,佳格,9.58,5.8,0.6054279749478079
2004,2385,群光,26.23,15.88,0.6054136484940907
