,year,stock,price,count,return,action
139,2006,2342,58.74,47.0,4.051034482758621,sell
197,2007,2485,78.83,33.0,3.7627684964200476,sell
77,2004,2354,34.2,57.0,2.773722627737226,sell
182,2007,6182,156.69,12.0,2.7288401253918497,sell
115,2005,2454,250.95,5.0,2.0669631826043986,sell
32,2002,2105,14.93,92.0,1.9440104166666667,sell
196,2007,2103,33.79,39.0,1.9408385985066052,sell
130,2005,6239,55.47,22.0,1.7876248791492102,sell
52,2003,1303,26.45,47.0,1.7859554355165426,sell
68,2003,2002,12.07,91.0,1.5614489003880982,sell
