,year,stock,price,count,return,action
24,2001,2377,51.61,61.0,5.015549076773567,sell
235,2007,2485,78.83,29.0,3.762768496420048,sell
116,2004,2354,34.2,50.0,2.7737226277372264,sell
221,2007,6182,156.69,10.0,2.7288401253918493,sell
154,2005,2454,250.95,5.0,2.0669631826043986,sell
219,2007,3481,92.52,12.0,1.944105904601807,sell
59,2002,2105,14.93,81.0,1.9440104166666667,sell
234,2007,2103,33.79,34.0,1.940838598506605,sell
212,2007,6116,12.34,95.0,1.9281249999999999,sell
87,2003,1303,26.45,42.0,1.7859554355165428,sell
