,year,stock,price,count,return,action
128,2007,2617,47.2,69.0,2.855414398064126,sell
69,2006,3189,71.98,42.0,2.6541297935103247,sell
110,2007,5608,39.24,72.0,2.4977721196690004,sell
111,2007,3702,27.97,94.0,2.364327979712595,sell
139,2007,2103,33.79,62.0,1.9408385985066052,sell
90,2006,9904,25.79,82.0,1.9217585692995527,sell
48,2005,2313,18.27,112.0,1.805335968379447,sell
87,2006,2547,39.87,50.0,1.7767379679144384,sell
134,2007,1102,38.71,48.0,1.7105612019443217,sell
78,2006,1605,15.6,113.0,1.5821501014198784,sell
