year,stock,stock_name,open_price,close_price,return
2004,3026,禾伸堂,27.23,22.79,0.8369445464561145
2007,1440,南紡,14.23,11.68,0.8208011243851019
2001,2006,東鋼,5.24,4.3,0.8206106870229007
2008,4904,遠傳,39.75,32.58,0.8196226415094339
2000,1301,台塑,21.61,17.7,0.8190652475705692
1999,2316,楠梓電,41.74,33.22,0.7958792525155726
1999,1409,新纖,10.45,8.31,0.7952153110047848
2000,1907,永豐餘,6.23,4.95,0.7945425361155698
2007,3367,英華達,55.67,44.22,0.7943236931920243
2005,2475,華映,12.03,9.55,0.7938487115544474
2005,1304,台聚,8.24,6.54,0.7936893203883495
2007,2354,鴻準,251.75,199.6,0.792850049652433
2004,1103,嘉泥,17.57,13.62,0.7751849743881616
2006,2391,合勤,45.85,35.53,0.774918211559433
2007,2327,國巨,14.02,10.86,0.7746077032810271
2005,9907,統一實,7.35,5.69,0.7741496598639457
2000,2301,光寶科,11.27,8.71,0.7728482697426798
2002,3045,台灣大,25.09,19.38,0.7724192905540056
2004,3231,緯創,14.52,8.83,0.6081267217630855
1999,5307,耀文,27.96,16.98,0.6072961373390557
1999,1507,永大,18.42,11.17,0.6064060803474484
2008,2312,金寶,9.98,6.05,0.6062124248496994
2000,1227,佳格,9.58,5.8,0.6054279749478079
2004,2385,群光,26.23,15.88,0.6054136484940907
2008,2362,藍天,39.14,23.69,0.6052631578947368
1999,2520,冠德,13.88,8.4,0.6051873198847262
2002,2458,義隆,26.33,15.87,0.602734523357387
2000,1303,南亞,24.31,14.65,0.6026326614561909
2008,1313,聯成,15.26,9.18,0.601572739187418
2006,3195,統寶,20.6,12.36,0.6
2001,2603,長榮,11.91,7.11,0.5969773299748111
2004,2345,智邦,23.19,13.83,0.5963777490297542
1999,2103,台橡,9.09,5.42,0.5962596259625963
2001,2609,陽明,7.25,4.32,0.5958620689655173
2008,1402,遠東新,33.8,20.12,0.5952662721893492
2008,3005,神基,21.8,12.97,0.594954128440367
2000,2905,三商行,17.76,10.56,0.5945945945945945
2000,1229,聯華,7.69,4.57,0.5942782834850455
2008,2002,中鋼,33.48,19.87,0.593488649940263
2000,2416,世平,33.02,19.5,0.5905511811023622
2002,2344,華邦電,24.8,14.64,0.5903225806451613
2008,1434,福懋,26.04,15.37,0.5902457757296466
2004,1729,必翔,89.16,52.5,0.5888290713324361
2004,2349,錸德,19.71,11.6,0.5885337392186707
2001,1402,遠東新,11.58,6.79,0.5863557858376511
2004,2313,華通,17.26,10.12,0.5863267670915411
2002,2408,南科,75.76,44.0,0.5807814149947201
2001,1101,台泥,9.14,5.26,0.5754923413566739
2002,2332,友訊,27.37,15.69,0.5732553891121666
2000,5701,劍湖山,26.24,14.99,0.571265243902439
2008,3443,創意,188.24,107.45,0.5708138546536337
2007,2363,矽統,36.12,20.59,0.5700442967884829
2002,6116,彩晶,18.16,10.35,0.5699339207048458
2008,2542,興富發,20.04,11.42,0.5698602794411178
2000,2324,仁寶,23.49,13.38,0.5696040868454663
2000,2430,燦坤,14.68,8.34,0.5681198910081744
2008,6121,新普,108.84,61.81,0.5678978316795296
1999,2501,國建,13.74,7.8,0.5676855895196506
2002,2491,吉祥全,127.78,68.64,0.537173266551886
2008,1717,長興,24.76,13.29,0.5367528271405492
2008,1326,台化,66.97,35.91,0.5362102433925638
2004,1604,聲寶,20.1,10.77,0.535820895522388
2002,2457,飛宏,25.26,13.53,0.5356294536817101
2004,2377,微星,27.37,14.64,0.5348922177566678
2000,1903,士紙,49.52,26.47,0.5345315024232633
2008,2324,仁寶,28.3,15.1,0.5335689045936396
2008,1440,南紡,11.68,6.21,0.5316780821917808
1999,1227,佳格,18.13,9.58,0.5284059569773856
2008,1301,台塑,70.68,37.31,0.5278720996038483
2000,2332,友訊,22.93,11.62,0.5067597034452682
2000,2303,聯電,54.04,27.33,0.5057364914877868
2002,2377,微星,51.61,26.1,0.5057159465219919
2002,5347,世界,19.01,9.03,0.4750131509731719
1999,1716,永信,31.84,15.11,0.4745603015075377
2000,2368,金像電,24.08,11.39,0.47300664451827246
2008,2201,裕隆,29.62,13.93,0.4702903443619176
2008,2350,環電,16.41,7.7,0.4692260816575259
2008,2609,陽明,21.28,9.98,0.46898496240601506
2000,2370,匯僑工業,36.54,17.13,0.4688013136288998
2008,3376,新日興,141.11,66.13,0.4686414853660264
2008,3019,亞光,80.5,37.58,0.46683229813664595
2008,3231,緯創,43.34,20.22,0.4665436086755883
