year,stock,price,count,return,action
2003,1504,8.51,77.0,1.1625683060109289,sell
2003,2303,23.75,34.0,1.4376513317191284,sell
2003,2374,16.92,33.0,0.0,buy
2003,1216,8.95,62.0,0.0,buy
2003,2029,24.82,24.0,1.0828970331588132,sell
2003,2614,8.38,66.0,0.0,buy
2003,2474,29.43,19.0,0.0,buy
2003,1905,13.01,66.0,1.5234192037470726,sell
2003,2006,8.0,95.0,1.3490725126475547,sell
2003,1102,9.17,61.0,0.0,buy
2003,2495,30.64,45.0,2.47696038803557,sell
2003,2382,43.97,12.0,0.0,buy
2003,3008,206.6,5.0,1.9448366751388497,sell
2003,1304,7.99,70.0,0.0,buy
2003,2353,28.34,37.0,1.8632478632478633,sell
2003,2323,24.71,22.0,0.0,buy
2003,2618,20.48,26.0,0.9761677788369876,sell
2003,1313,10.06,65.0,1.1670533642691416,sell
2003,2448,47.4,17.0,1.5095541401273886,sell
2003,2324,25.81,33.0,1.5254137115839241,sell
2003,6191,30.55,18.0,0.0,buy
2003,2441,14.7,66.0,1.7192982456140347,sell
2003,2515,4.42,101.0,0.7823008849557521,sell
2003,1710,19.47,29.0,0.0,buy
2003,2501,11.27,50.0,0.0,buy
2003,2379,60.38,9.0,0.0,buy
2003,2498,26.74,22.0,1.0606902023006743,sell
2003,1722,16.53,34.0,0.0,buy
2004,2354,34.2,16.0,0.0,buy
2004,1605,13.06,42.0,0.0,buy
2004,2606,24.8,22.0,0.0,buy
2004,1216,11.11,62.0,1.241340782122905,sell
2004,6176,37.19,14.0,0.0,buy
2004,2610,21.31,26.0,0.0,buy
2004,1402,17.06,32.0,0.0,buy
2004,2473,40.53,13.0,0.0,buy
2004,6505,36.75,15.0,0.0,buy
2004,9904,15.32,32.0,0.8964306612053833,sell
2004,2605,17.81,56.0,1.8062880324543609,sell
2004,1710,19.36,29.0,0.9943502824858756,sell
2004,2454,121.41,4.0,0.0,buy
2004,2501,17.56,31.0,0.0,buy
2004,1304,8.24,70.0,1.0312891113892366,sell
2004,2328,17.99,31.0,0.0,buy
2004,3026,22.79,24.0,0.0,buy
2004,2323,16.4,22.0,0.6636989073249696,sell
2004,1716,21.82,25.0,0.0,buy
2004,1905,13.4,41.0,0.0,buy
2004,2382,34.53,12.0,0.7853081646577212,sell
2004,4906,40.61,13.0,0.0,buy
2004,2495,26.46,21.0,0.0,buy
2004,2409,31.54,22.0,1.256073277578654,sell
2004,2402,32.03,16.0,0.933003204194582,sell
2004,1722,28.84,34.0,1.7447065940713853,sell
2004,2308,33.58,16.0,0.0,buy
2004,2603,21.12,26.0,0.0,buy
2004,2379,43.22,9.0,0.7157999337528983,sell
2004,2618,24.06,23.0,0.0,buy
2004,2332,23.55,21.0,0.9050730207532668,sell
2004,1102,12.55,61.0,1.3685932388222466,sell
2004,1314,6.94,80.0,0.0,buy
2004,8017,10.61,52.0,0.0,buy
2004,2325,14.97,37.0,0.0,buy
2004,2614,8.81,66.0,1.0513126491646778,sell
2004,2474,31.24,19.0,1.0615018688413183,sell
2004,2903,12.46,45.0,0.0,buy
2004,2371,12.55,44.0,0.0,buy
2004,6153,25.31,22.0,0.0,buy
2004,2385,15.88,21.0,0.6054136484940907,sell
2005,3041,34.87,15.0,0.0,buy
2005,2371,9.2,44.0,0.7330677290836652,sell
2005,6191,36.31,18.0,1.188543371522095,sell
2005,2454,250.95,4.0,2.066963182604398,sell
2005,6121,38.48,14.0,0.0,buy
2005,2325,29.22,37.0,1.9519038076152302,sell
2005,2603,18.6,26.0,0.8806818181818182,sell
2005,6176,48.33,14.0,1.2995428878730841,sell
2005,5203,65.63,8.0,0.0,buy
2005,2353,58.2,9.0,0.0,buy
2005,1402,16.59,32.0,0.9724501758499414,sell
2005,2498,209.45,2.0,0.0,buy
2005,2340,16.36,35.0,1.0257053291536051,sell
2005,2308,44.9,16.0,1.3371054198927934,sell
2005,2384,42.43,13.0,0.0,buy
2005,2354,90.21,16.0,2.6377192982456137,sell
2005,1605,9.86,42.0,0.7549770290964778,sell
2005,2374,20.0,33.0,1.1820330969267139,sell
2005,2377,13.21,42.0,0.0,buy
2005,2606,21.63,22.0,0.8721774193548386,sell
2005,2903,14.43,45.0,1.1581059390048154,sell
2005,2363,38.37,14.0,0.0,buy
2005,3376,65.35,8.0,0.0,buy
2005,2495,24.53,22.0,0.0,buy
2005,1716,23.24,25.0,1.065077910174152,sell
2005,4906,30.51,13.0,0.7512927850283182,sell
2005,2328,38.88,31.0,2.1612006670372432,sell
2005,2534,14.61,38.0,0.0,buy
2005,3062,29.66,18.0,0.0,buy
2006,1314,9.18,80.0,1.3227665706051872,sell
2006,3474,33.65,16.0,0.0,buy
2006,6244,206.55,2.0,0.0,buy
2006,3062,62.01,18.0,2.0906945380984494,sell
2006,2384,29.22,13.0,0.6886636813575301,sell
2006,6505,57.32,15.0,1.5597278911564625,sell
2006,2610,20.95,26.0,0.9831065227592679,sell
2006,2356,17.61,31.0,0.0,buy
2006,8046,164.9,3.0,0.0,buy
2006,3041,49.47,15.0,1.4186980212216806,sell
2006,2534,15.65,38.0,1.0711841204654349,sell
2006,5203,122.43,4.0,0.0,buy
2006,2492,25.27,21.0,0.0,buy
2006,2353,52.99,9.0,0.9104810996563573,sell
2006,2448,86.95,6.0,0.0,buy
2006,2388,95.0,5.0,0.0,buy
2006,9907,11.76,46.0,0.0,buy
2006,2618,22.51,23.0,0.9355777223607648,sell
2006,2377,19.63,42.0,1.4859954579863737,sell
2006,2451,68.13,8.0,0.0,buy
2006,2379,86.16,6.0,0.0,buy
2006,1722,56.22,9.0,0.0,buy
2006,2363,36.12,14.0,0.9413604378420641,sell
2006,3376,124.3,8.0,1.9020657995409336,sell
2006,1440,14.23,38.0,0.0,buy
2006,2511,18.56,29.0,0.0,buy
2006,2495,31.25,22.0,1.273950264981655,sell
2006,6121,68.84,14.0,1.7889812889812893,sell
2006,2454,254.2,2.0,0.0,buy
2006,2107,20.89,26.0,0.0,buy
2006,5387,13.18,42.0,0.0,buy
2006,1313,13.25,41.0,0.0,buy
2006,8076,162.55,3.0,0.0,buy
2006,2501,20.96,31.0,1.193621867881549,sell
