year,stock,stock_name,open_price,close_price,return
2009,8069,元太,14.15,84.2,5.950530035335689
2005,2315,神達,11.3,33.51,2.9654867256637165
2009,2105,正新,19.71,57.39,2.9117199391171993
2009,5371,中光電,15.09,43.67,2.893969516235918
2009,2393,億光,39.83,114.93,2.8855134320863676
2009,3189,景碩,28.82,82.7,2.8695350451075643
2009,2327,國巨,4.08,11.7,2.867647058823529
2005,8078,華寶,33.61,93.17,2.7720916393930377
2009,3195,統寶,4.12,11.37,2.759708737864077
2009,3035,智原,24.27,66.62,2.7449526163988467
2005,3231,緯創,8.83,24.21,2.7417893544733865
2009,2317,鴻海,55.35,151.5,2.7371273712737128
2007,6182,合晶,57.42,156.69,2.7288401253918493
2009,6121,新普,61.81,168.15,2.7204335867982525
2009,2324,仁寶,15.1,40.89,2.7079470198675497
2009,2204,中華,8.57,22.07,2.575262543757293
2009,8078,華寶,17.11,43.85,2.562828755113969
2009,6244,茂迪,61.87,149.36,2.414094068207532
2009,2356,英業達,7.21,17.31,2.4008321775312065
2006,1736,喬山,94.78,180.46,1.9039881831610046
2009,2441,超豐,17.21,32.75,1.9029633933759442
2009,2501,國建,6.95,12.65,1.8201438848920863
2009,1326,台化,35.91,65.32,1.818991924255082
2006,1102,亞泥,12.48,22.63,1.813301282051282
2005,2313,華通,10.12,18.27,1.8053359683794468
2009,2332,友訊,19.01,32.39,1.7038400841662282
2009,1301,台塑,37.31,63.57,1.7038327526132404
2006,4906,正文,30.51,49.04,1.6073418551294656
2007,2475,華映,6.59,10.59,1.606980273141123
2007,3443,創意,124.07,188.24,1.5172080277262836
2005,3260,威剛,44.41,67.33,1.516099977482549
2009,2605,新興,25.92,39.23,1.513503086419753
2005,5305,敦南,16.91,25.54,1.510348905972797
2005,2317,鴻海,56.38,85.14,1.510109968073785
2007,5522,遠雄,44.12,66.61,1.509746146872167
2005,2394,普立爾,27.08,40.87,1.509231905465288
2004,2371,大同,8.6,12.55,1.4593023255813955
2007,1216,統一,22.89,33.38,1.4582787243337703
2004,9921,巨大,23.09,32.88,1.4239930705933306
2006,6188,廣明,26.91,38.17,1.4184318097361577
2004,1907,永豐餘,8.95,12.35,1.3798882681564246
2004,3034,聯詠,39.78,54.88,1.379587732528909
2009,9907,統一實,8.66,11.68,1.3487297921478059
2007,6605,帝寶,76.16,97.25,1.2769170168067228
2004,2315,神達,9.06,11.3,1.2472406181015452
2005,2409,友達,31.54,38.08,1.2073557387444516
