year,ROA (%)
1990,22.83
1991,18.74
1992,13.14
1993,4.48
1994,-3.42
1995,-2.62
1996,0.82
1997,-2.62
1998,2.85
1999,-2.22
2001,-3.00
2003,-13.00
2004,-19.00
2005,-4.00
2006,0.83
2007,5.28
2008,-4.81
2009,-4.84
2010,-3.42
2011,1.17
