year,ROA (%)
1990,12.46
1991,7.37
1992,7.37
1993,3.25
1994,6.13
1995,-1.23
1996,2.86
1997,2.78
1998,2.25
1999,-3.24
2000,-1.20
2001,3.08
2002,1.56
2003,1.04
2004,1.63
2005,2.08
2006,7.83
2007,5.97
2008,3.61
2009,2.82
2010,5.03
2011,9.88
