year,ROA (%)
1996,19.10
1997,11.70
1998,9.40
1999,8.70
2000,13.40
2001,3.90
2002,3.80
2003,3.20
2004,5.80
2005,5.20
2006,3.16
2007,3.58
2008,-4.68
2009,-4.03
2010,-3.44
2011,-13.68
