year,ROA (%)
1990,4.08
1991,7.09
1992,3.58
1993,1.94
1994,3.32
1995,-0.62
1996,3.76
1997,4.54
1998,4.75
1999,2.30
2000,-1.01
2001,-0.52
2002,4.07
2003,1.77
2004,1.22
2005,-2.02
2006,2.60
2007,2.79
2008,9.45
2009,9.63
2010,11.51
2011,8.96
