year,ROA (%)
1990,10.28
1991,11.85
1992,5.87
1993,6.74
1994,17.41
1996,7.29
1997,8.07
1998,4.46
1999,7.28
2000,2.92
2001,4.55
2002,3.37
2003,3.61
2004,4.82
2005,5.81
2006,4.88
2007,5.10
2008,4.62
2009,1.63
2010,2.80
2011,8.18
