year,ROA (%)
1994,29.59
1995,24.33
1996,16.10
1998,18.53
2000,-0.41
2001,-0.28
2002,-10.71
2003,1.72
2004,-8.35
2005,4.87
2006,0.87
2007,-10.56
2008,-47.38
2009,5.04
2010,1.07
2011,-6.18
