year,ROA (%)
1999,1.88
2000,2.54
2001,1.61
2002,2.45
2003,5.45
2004,6.03
2005,0.60
2006,6.80
2007,3.30
2008,0.38
2009,1.57
2010,5.94
2011,3.20
