year,ROA (%)
1993,7.74
1994,7.60
1995,7.21
1996,5.56
1997,4.18
1998,1.95
1999,-1.62
2000,2.51
2001,-0.48
2002,0.94
2004,-1.22
2005,3.06
2006,4.28
2007,4.89
2008,3.92
2009,4.33
2010,5.67
2011,5.56
