year,ROA (%)
1996,21.00
1997,18.00
1998,18.00
1999,18.19
2000,16.13
2001,19.06
2002,11.76
2003,8.55
2004,1.36
2005,3.11
2006,3.18
2007,6.35
2008,4.50
2009,0.48
2010,1.05
2011,0.74
