year,ROA (%)
1993,30.10
1994,18.50
1995,14.20
1996,14.50
1998,-7.20
1999,-14.80
2000,-1.30
2001,-21.35
2002,4.40
2003,-10.00
2004,10.50
2005,-0.30
2006,-1.57
2007,3.80
2008,-5.40
2009,-16.40
2010,-27.10
2011,4.87
