year,ROA (%)
1994,5.29
1995,7.93
1996,7.33
1997,9.27
1998,6.87
1999,7.53
2000,5.39
2001,-0.59
2002,-2.40
2003,-2.36
2004,6.00
2005,0.84
2006,-0.84
2007,-5.31
2008,-10.06
2009,7.86
2010,0.46
2011,1.38
