year,ROA (%)
1991,7.91
1992,5.70
1993,4.14
1994,3.36
1998,-0.45
1999,-5.86
2000,-1.49
2001,-4.69
2002,-2.14
2003,-1.34
2004,-2.82
2005,-3.67
2006,-0.49
2007,1.38
2008,2.63
2009,-6.11
2010,-4.01
2011,-6.84
