year,ROA (%)
1990,-4.60
1991,-0.27
1992,-2.85
1993,-4.56
1994,1.64
1995,7.72
1996,-0.37
1997,2.11
1998,-4.11
1999,-1.60
2000,-5.52
2001,-4.69
2002,0.61
2003,0.19
2004,-0.70
2005,-6.68
2006,0.36
2007,2.03
2008,-3.39
2009,-5.28
2010,10.05
2011,27.40
