year,ROA (%)
1990,-4.38
1991,9.21
1992,6.58
1993,2.09
1994,6.63
1995,-1.57
1996,0.80
1997,3.41
1998,-11.09
1999,2.62
2000,2.50
2001,4.13
2002,4.16
2003,-0.15
2004,-1.31
2005,-1.32
2006,1.14
2007,6.49
2008,-7.79
2009,1.79
2010,-0.58
2011,1.92
