year,ROA (%)
1998,40.15
1999,22.63
2000,40.09
2001,17.94
2002,17.02
2003,17.30
2004,18.44
2005,19.26
2006,21.07
2007,22.43
2008,20.16
2009,15.02
2010,13.45
2011,10.97
