year,ROA (%)
1990,13.08
1991,15.71
1992,13.63
1993,15.73
1994,9.67
1995,8.33
1996,5.91
1997,4.85
1998,6.13
1999,4.95
2000,2.39
2001,1.75
2002,1.59
2003,2.79
2004,5.18
2005,6.53
2006,7.72
2007,8.38
2008,5.87
2009,7.53
2010,7.48
2011,7.69
