year,ROA (%)
1996,16.44
1997,15.50
1998,13.40
1999,9.46
2000,10.45
2001,9.55
2002,7.91
2003,7.59
2004,4.26
2005,2.07
2006,2.29
2007,4.02
2008,2.11
2009,-1.47
2010,1.10
2011,5.97
