year,ROA (%)
1990,11.09
1991,8.61
1992,9.25
1993,8.23
1994,7.84
1995,4.60
1996,1.10
1997,2.60
1998,-6.20
1999,-1.90
2000,-2.50
2001,-0.80
2002,6.70
2003,5.60
2004,3.70
2005,-2.10
2006,0.25
2007,-9.65
2008,-8.84
2009,0.81
2010,5.88
2011,2.60
