year,ROA (%)
1990,-2.04
1991,4.61
1992,2.10
1993,4.52
1994,1.58
1995,-5.79
1996,10.14
1997,9.32
1998,-37.63
1999,-7.84
2000,-0.03
2001,4.79
2004,1.68
2005,0.41
2006,0.04
2007,4.72
2008,1.19
2009,-2.65
2010,0.84
2011,2.95
