year,ROA (%)
1996,16.58
1997,17.11
1998,14.43
1999,15.54
2000,9.17
2001,11.58
2002,10.33
2003,10.50
2004,11.47
2005,11.48
2006,12.06
2007,10.12
2008,6.92
2009,10.92
2010,7.96
2011,9.41
