year,ROA (%)
1998,7.62
1999,6.44
2000,3.74
2001,2.28
2002,1.31
2003,0.84
2004,5.57
2005,16.13
2006,6.17
2007,2.92
2008,1.65
2009,1.34
2010,4.48
2011,7.90
