year,ROA (%)
1990,4.40
1991,8.10
1992,4.90
1993,-1.80
1994,-0.30
1995,-1.50
1996,5.10
1997,13.10
1998,13.00
1999,7.70
2000,6.80
2001,5.90
2002,9.90
2003,13.20
2004,9.30
2005,8.70
2006,4.36
2007,4.40
2008,0.59
2009,1.66
2010,5.73
2011,4.78
