year,ROA (%)
1990,9.07
1991,5.90
1992,2.86
1993,7.36
1994,15.73
1995,24.63
1996,17.45
1997,15.65
1998,15.59
1999,4.57
2000,11.42
2001,-2.54
2002,5.34
2003,4.52
2004,6.02
2005,1.33
2006,-8.97
2007,-4.42
2008,-4.72
2009,4.48
2010,4.77
2011,5.32
