year,ROA (%)
1996,5.39
1997,6.52
1998,5.00
1999,7.32
2000,5.86
2001,4.61
2002,1.85
2003,1.73
2004,2.38
2005,4.16
2006,6.71
2007,8.86
2008,12.10
2009,11.29
2010,11.94
2011,11.81
