year,ROA (%)
1999,8.83
2000,14.41
2001,15.34
2002,9.04
2003,9.08
2004,11.81
2005,13.43
2006,13.81
2007,12.11
2008,0.62
2009,4.36
2010,8.17
2011,8.51
