year,ROA (%)
1990,15.42
1991,10.20
1992,2.95
1993,7.48
1994,5.52
1995,10.84
1996,16.11
1997,11.88
1998,-5.34
1999,-14.32
2000,5.46
2001,-24.00
2002,2.00
2003,-4.00
2004,-13.00
2005,-5.00
2006,1.50
2007,0.94
2008,-9.92
2009,-15.12
2010,-6.07
2011,3.94
