year,ROA (%)
1990,9.15
1991,5.09
1992,4.55
1993,5.29
1994,5.96
1995,4.60
1996,5.04
1998,4.97
1999,3.49
2000,-2.63
2001,-1.19
2002,4.08
2003,3.66
2004,2.02
2005,3.04
2006,-1.86
2007,-1.84
2008,2.56
2009,2.69
2010,2.89
2011,1.02
