year,ROA (%)
1990,6.83
1991,8.43
1992,10.03
1993,15.70
1994,4.92
1995,5.67
1996,10.05
1997,16.96
1999,25.00
2000,9.80
2001,6.77
2002,1.36
2003,9.57
2004,-0.40
2005,0.02
2006,0.88
2007,-1.87
2008,-7.91
2009,-4.24
2010,-10.10
2011,-3.06
