year,ROA (%)
1990,9.56
1991,11.93
1992,8.21
1993,13.08
1994,5.16
1995,4.01
1996,6.92
1997,7.70
1998,3.04
1999,1.99
2000,0.30
2001,2.33
2002,3.30
2003,5.09
2004,3.08
2005,1.90
2006,15.16
2007,4.81
2008,1.37
2009,1.92
2010,1.83
2011,1.09
