year,ROA (%)
1990,2.67
1991,3.39
1992,3.96
1993,2.16
1994,8.48
1995,3.51
1996,0.10
1997,9.00
1998,3.64
1999,-9.38
2000,0.85
2001,5.94
2002,0.67
2003,5.77
2004,1.94
2005,3.47
2006,6.23
2007,7.42
2008,3.07
2009,3.27
2010,6.56
2011,10.15
