year,ROA (%)
1998,27.36
1999,18.82
2000,18.06
2001,17.90
2002,15.44
2003,17.17
2004,22.51
2005,15.48
2006,8.40
2007,17.21
2008,9.64
2009,10.13
2010,4.17
2011,-2.83
