year,ROA (%)
1993,16.29
1994,14.57
1995,11.85
1996,13.71
1998,9.20
1999,8.80
2000,9.91
2001,7.39
2002,5.59
2003,10.88
2004,10.03
2005,11.03
2006,11.49
2007,11.73
2008,8.57
2009,11.16
2010,9.78
2011,10.82
