year,ROA (%)
1992,12.19
1993,10.30
1994,13.46
1995,11.87
1996,7.20
1997,5.99
1998,5.95
1999,5.27
2000,5.98
2001,-24.82
2002,12.54
2003,9.56
2004,2.81
2005,1.20
2006,-0.19
2007,0.51
2008,0.68
2009,1.04
2010,0.99
2011,2.55
