year,ROA (%)
1999,10.84
2000,8.84
2001,3.86
2002,4.92
2003,3.28
2004,0.70
2005,-0.98
2006,-5.74
2007,0.79
2008,4.77
2009,2.49
2010,8.55
2011,5.47
