year,ROA (%)
1990,10.38
1991,6.32
1992,5.34
1993,3.87
1994,5.97
1995,2.17
1996,7.66
1997,0.00
1998,0.00
1999,2.91
2000,0.00
2001,0.00
2002,0.00
2003,0.71
2004,10.07
2005,-5.40
2006,1.08
2007,0.86
2008,-3.28
2009,6.05
2010,0.33
2011,-0.98
