year,ROA (%)
1999,11.35
2000,12.08
2001,5.49
2002,1.26
2003,-5.44
2004,3.30
2005,6.79
2006,9.53
2007,9.98
2008,5.57
2009,7.53
2010,8.07
2011,7.72
