year,ROA (%)
1994,18.09
1995,21.72
1996,20.43
1997,17.77
1998,14.05
1999,13.67
2000,8.88
2001,7.00
2002,8.51
2003,8.43
2004,10.44
2005,12.00
2006,14.58
2007,20.52
2008,13.98
2009,10.70
2010,20.01
2011,15.89
