year,ROA (%)
1993,5.95
1994,4.09
1995,5.80
1996,3.06
1997,4.87
1998,5.59
2000,-0.91
2001,-0.64
2002,-3.73
2003,-9.26
2004,1.15
2005,-15.66
2006,2.73
2007,2.18
2008,-9.45
2009,6.87
2010,11.41
2011,4.96
