year,ROA (%)
1990,3.99
1991,3.48
1992,3.87
1993,7.14
1994,2.76
1995,2.85
1996,5.01
1997,6.23
1998,3.75
1999,5.04
2000,5.36
2001,2.88
2002,2.93
2003,1.19
2004,5.69
2005,6.74
2006,1.58
2007,2.03
2008,0.71
2009,0.90
2010,2.53
2011,2.16
