year,ROA (%)
1990,-5.34
1991,4.48
1992,-5.65
1993,-1.39
1994,9.83
1995,0.51
1996,1.76
1997,8.02
1998,-0.99
1999,2.47
2000,-4.93
2001,-2.43
2002,-4.03
2003,1.81
2004,-5.27
2005,1.19
2006,-40.41
2007,1.19
2008,-0.24
2009,-3.09
2010,27.32
2011,-0.34
