year,ROA (%)
1996,16.88
1997,48.49
1998,44.82
1999,28.20
2000,20.18
2001,20.61
2002,20.61
2003,11.45
2004,8.64
2005,7.24
2006,7.97
2007,9.15
2008,8.81
2009,8.80
2010,6.09
2011,6.59
