year,ROA (%)
1994,44.32
1995,58.35
1996,58.56
1997,44.03
1998,39.16
1999,33.88
2000,27.91
2001,23.13
2002,13.00
2003,13.82
2004,15.08
2005,11.13
2006,7.64
2007,9.34
2008,6.39
2009,5.60
2010,8.35
2011,9.48
