year,ROA (%)
1995,19.28
1996,15.01
2000,1.51
2001,*****
2002,-1.90
2003,1.33
2004,2.94
2005,1.53
2006,9.90
2007,12.63
2008,2.23
2009,-1.32
2010,2.21
2011,3.58
