year,ROA (%)
1998,-3.60
1999,-3.48
2000,8.51
2001,7.82
2002,12.73
2003,14.89
2004,16.12
2005,-5.99
2006,-3.86
2007,-6.84
2008,-16.90
2009,-8.79
2010,-9.24
2011,-7.33
