year,ROA (%)
1990,7.70
1991,8.79
1992,8.00
1993,7.60
1994,9.90
1995,13.10
1996,9.50
1997,7.40
1998,4.90
1999,9.60
2000,2.20
2002,2.34
2003,-2.10
2004,5.30
2005,8.80
2006,8.28
2007,8.39
2008,5.48
2009,4.74
2010,5.62
2011,5.97
