date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE
2017-01-03,3426,131000,6116250,47.15,47.2,46.1,46.9,-0.6,97,2017,16.69,2.02,2.2,103.18,1.6105945213562214,0,0
2017-01-04,3426,81000,3795050,46.9,47.1,46.5,47.1,0.2,62,2017,16.76,2.03,2.2,103.62,1.6174627282703202,0,0
2017-01-05,3426,141000,6608850,47.0,47.2,46.6,47.2,0.1,95,2017,16.8,2.03,2.2,103.84000000000002,1.6208968317273698,0,0
2017-01-06,3426,184000,8973250,47.65,49.5,47.5,49.0,1.8,164,2017,17.44,2.11,2.2,107.80000000000001,1.6827106939542609,0,0
2017-01-09,3426,131000,6463700,49.3,50.7,48.5,49.0,0.0,115,2017,17.44,2.11,2.2,107.80000000000001,1.6827106939542609,0,0
2017-01-10,3426,82000,4044800,50.0,50.0,49.0,49.05,0.05,64,2017,17.46,2.11,2.2,107.91,1.6844277456827856,0,0
2017-01-11,3426,73000,3567100,49.05,49.2,48.6,48.7,-0.35,60,2017,17.33,2.1,2.2,107.14000000000001,1.6724083835831125,0,0
2017-01-12,3426,49000,2391250,48.4,49.2,48.4,48.6,-0.1,39,2017,17.3,2.09,2.2,106.92000000000002,1.668974280126063,0,0
2017-01-13,3426,38000,1856500,48.7,49.0,48.7,49.0,0.4,32,2017,17.44,2.11,2.2,107.80000000000001,1.6827106939542609,0,0
2017-01-16,3426,70000,3412750,49.3,49.3,48.55,48.6,-0.4,41,2017,17.3,2.09,2.2,106.92000000000002,1.668974280126063,0,0
2017-01-17,3426,55000,2668500,48.7,48.8,48.15,48.15,-0.45,43,2017,17.14,2.07,2.2,105.93,1.6535208145693403,0,0
2017-01-18,3426,62000,3001500,48.15,49.4,48.0,49.4,1.25,45,2017,17.58,2.13,2.2,108.68,1.696447107782459,0,0
2017-01-19,3426,87000,4247950,49.4,49.4,48.2,49.3,-0.1,53,2017,17.54,2.12,2.2,108.46000000000001,1.6930130043254095,0,0
2017-01-20,3426,67000,3291950,49.3,49.4,48.7,49.4,0.1,44,2017,17.58,2.13,2.2,108.68,1.696447107782459,0,0
2017-01-23,3426,80000,3947500,49.4,49.9,49.05,49.5,0.1,58,2017,17.62,2.13,2.2,108.9,1.6998812112395085,0,0
2017-01-24,3426,102000,5041500,49.4,49.8,49.1,49.8,0.3,68,2017,17.72,2.14,2.2,109.56,1.710183521610657,0,0
2017-02-02,3426,77000,3808600,49.4,49.7,49.35,49.4,-0.4,61,2017,17.58,2.13,2.2,108.68,1.6507535322297933,0,0
2017-02-03,3426,57000,2789150,49.4,49.4,48.7,49.0,-0.4,45,2017,17.44,2.11,2.2,107.80000000000001,1.6373871068676087,0,0
2017-02-06,3426,101000,4942850,48.9,49.05,48.8,48.8,-0.2,70,2017,17.37,2.1,2.2,107.36,1.6307038941865164,0,0
2017-02-07,3426,52000,2546000,48.8,49.3,48.7,49.15,0.35,38,2017,17.49,2.12,2.2,108.13000000000001,1.6423995163784277,0,0
2017-02-08,3426,58000,2837050,49.0,49.0,48.8,48.9,-0.25,40,2017,17.4,2.11,2.2,107.58000000000001,1.6340455005270629,0,0
2017-02-09,3426,467000,24217700,48.9,53.7,48.9,53.7,4.8,328,2017,19.11,2.31,2.2,118.14000000000001,1.7944426048732776,0,0
2017-02-10,3426,829000,46974500,56.5,58.0,55.5,55.5,1.8,572,2017,19.75,2.39,2.2,122.10000000000001,1.8545915190031077,0,0
2017-02-13,3426,387000,21253900,56.0,56.5,53.0,54.5,-1.0,284,2017,19.4,2.35,2.2,119.9,1.8211754555976463,0,0
2017-02-14,3426,270000,14724300,54.5,55.7,53.7,54.8,0.3,196,2017,19.5,2.36,2.2,120.56,1.8312002746192848,0,0
2017-02-15,3426,764000,44420600,54.0,60.2,53.5,60.2,5.4,534,2017,21.42,2.59,2.2,132.44000000000003,2.0116470170087766,0,0
2017-02-16,3426,1483000,94407600,63.0,66.2,61.0,66.2,6.0,1044,2017,23.56,2.85,2.2,145.64000000000001,2.212143397441545,0,0
2017-02-17,3426,847000,53111300,64.0,64.5,60.2,62.2,-4.0,660,2017,22.14,2.68,2.2,136.84,2.078479143819699,0,0
2017-02-20,3426,485000,29498300,62.0,63.0,58.3,58.5,-4.5,363,2017,20.82,2.52,2.2,128.70000000000002,1.9548397092194922,0,0
2017-02-21,3426,257000,15209900,58.7,60.9,57.8,59.2,0.7,215,2017,21.07,2.55,2.2,130.24,1.978230953603315,0,0
2017-02-22,3426,311000,18128300,59.6,60.0,57.6,58.0,-1.2,244,2017,20.64,2.5,2.2,127.60000000000001,1.9381316775167612,0,0
2017-02-23,3426,137000,8022900,58.7,59.0,58.0,58.3,0.3,115,2017,20.75,2.51,2.2,128.26,1.9481564965383995,0,0
2017-02-24,3426,251000,15065600,59.4,61.8,59.0,59.1,0.8,210,2017,21.03,2.55,2.2,130.02,1.9748893472627687,0,0
2017-03-01,3426,187000,10839800,59.1,59.1,57.4,57.4,-1.7,143,2017,20.43,2.47,2.2,126.28,1.9180820394734843,0,0
2017-03-02,3426,170000,9725400,57.1,58.4,56.7,58.4,1.0,119,2017,20.78,2.52,2.2,128.48000000000002,1.905451180228868,0,0
2017-03-03,3426,100000,5750700,57.2,57.9,57.2,57.3,-1.1,72,2017,20.39,2.47,2.2,126.06,1.8695608326560638,0,0
2017-03-06,3426,63000,3600000,56.7,58.2,56.7,57.8,0.5,55,2017,20.57,2.49,2.2,127.16000000000001,1.8858746270073383,0,0
2017-03-07,3426,42000,2438200,57.9,58.4,57.8,57.8,0.0,40,2017,20.57,2.49,2.2,127.16000000000001,1.8858746270073383,0,0
2017-03-08,3426,191000,11357300,57.4,60.4,57.4,59.6,1.8,171,2017,21.21,2.57,2.2,131.12,1.9446042866719266,0,0
2017-03-09,3426,152000,8910500,59.8,60.2,57.7,57.8,-1.8,125,2017,20.57,2.49,2.2,127.16000000000001,1.8858746270073383,0,0
2017-03-10,3426,114000,6574500,57.8,58.4,57.2,58.1,0.3,82,2017,20.68,2.5,2.2,127.82000000000001,1.895662903618103,0,0
2017-03-13,3426,53000,3051700,58.1,58.1,57.3,57.5,-0.6,42,2017,20.46,2.48,2.2,126.50000000000001,1.876086350396574,0,0
2017-03-14,3426,125000,7321900,57.6,59.2,57.6,58.8,1.3,92,2017,20.93,2.53,2.2,129.36,1.9185022157098877,0,0
2017-03-15,3426,55000,3230200,59.3,59.3,58.2,58.2,-0.6,49,2017,20.71,2.51,2.2,128.04000000000002,1.8989256624883581,0,0
2017-03-16,3426,938000,59175500,58.4,64.0,58.4,64.0,5.8,610,2017,22.78,2.76,2.2,140.8,2.0881656769631425,0,0
2017-03-17,3426,831000,53751200,65.7,65.8,62.6,64.2,0.2,648,2017,22.85,2.76,2.2,141.24,2.0946911947036524,0,0
