date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROA,ROE
2007-01-02,6101,825,14707,18.25,18.4,17.4,17.4,-0.7,326,2007,248.57,2.2,10.4,180.95999999999998,0.7809907136509804,0,0
2007-01-03,6101,1008,17548,17.1,17.9,17.1,17.15,-0.25,354,2007,245.0,2.17,10.4,178.35999999999999,0.7697695827077192,0,0
2007-01-04,6101,1197,20537,17.2,17.9,16.8,17.0,-0.15,422,2007,242.86,2.15,10.4,176.8,0.7630369041417626,0,0
2007-01-05,6101,1233,21123,17.0,17.4,16.9,17.1,0.1,370,2007,244.29,2.16,10.4,177.84000000000003,0.7675253565190672,0,0
2007-01-08,6101,632,10923,17.2,17.6,17.0,17.0,-0.1,246,2007,242.86,2.15,10.4,176.8,0.7630369041417626,0,0
2007-01-09,6101,1283,22723,17.2,18.15,17.0,18.15,1.15,506,2007,259.29,2.3,10.4,188.76,0.8146541064807642,0,0
2007-01-10,6101,3074,58460,19.2,19.4,18.5,18.65,0.5,1197,2007,266.43,2.36,10.4,193.95999999999998,0.8370963683672865,0,0
2007-01-11,6101,2282,41654,19.0,19.05,17.35,17.35,-1.3,752,2007,247.86,2.2,10.4,180.44000000000003,0.7787464874623284,0,0
2007-01-12,6101,1183,20287,17.2,17.6,16.9,17.0,-0.35,428,2007,242.86,2.15,10.4,176.8,0.7630369041417626,0,0
2007-01-15,6101,1278,21031,17.25,17.25,16.05,16.2,-0.8,451,2007,231.43,2.05,10.4,168.48,0.7271292851233268,0,0
2007-01-16,6101,550,8932,16.4,16.4,16.05,16.2,0.0,240,2007,231.43,2.05,10.4,168.48,0.7271292851233268,0,0
2007-01-17,6101,590,9766,16.1,16.9,16.1,16.55,0.35,251,2007,236.43,2.09,10.4,172.12,0.7428388684438924,0,0
2007-01-18,6101,852,14544,16.75,17.5,16.65,17.1,0.55,377,2007,244.29,2.16,10.4,177.84000000000003,0.7675253565190672,0,0
2007-01-19,6101,909,15114,17.2,17.25,16.1,16.8,-0.3,372,2007,240.0,2.13,10.4,174.72000000000003,0.7540599993871537,0,0
