date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice
2005-09-02,1531,526401,17082034,32.6,32.9,32.2,32.5,-0.05,175,2005,14.71,1.76,0,0.0
2005-09-05,1531,1033115,33564175,32.6,33.3,31.65,31.75,-0.75,313,2005,15.72,1.72,0,0.0
2005-09-06,1531,607500,19245544,31.75,32.0,31.4,32.0,0.25,180,2005,15.84,1.73,0,0.0
2005-09-07,1531,879843,27871841,32.1,32.4,31.3,31.8,-0.2,277,2005,15.74,1.72,0,0.0
2005-09-08,1531,556000,17766800,32.0,32.15,31.8,31.8,0.0,167,2005,15.74,1.72,0,0.0
2005-09-09,1531,309357,9862094,32.0,32.1,31.75,31.9,0.1,136,2005,15.79,1.72,0,0.0
2005-09-12,1531,670411,21285694,32.1,32.4,31.25,31.3,-0.6,225,2005,15.5,1.69,0,0.0
2005-09-13,1531,1256748,38825042,31.3,31.3,30.5,30.6,-0.7,311,2005,15.15,1.65,0,0.0
2005-09-14,1531,871850,26450823,30.65,30.8,30.1,30.25,-0.35,198,2005,14.98,1.63,0,0.0
2005-09-15,1531,380350,11529820,30.3,30.5,30.2,30.35,0.1,104,2005,15.02,1.64,0,0.0
2005-09-16,1531,326400,9960576,30.3,30.7,30.3,30.3,-0.05,134,2005,15.0,1.64,0,0.0
2005-09-19,1531,90410,2765357,30.4,30.7,30.4,30.6,0.3,40,2005,15.15,1.65,0,0.0
2005-09-20,1531,311345,9556900,30.5,31.05,30.3,30.6,0.0,131,2005,15.15,1.65,0,0.0
2005-09-21,1531,1776521,55090259,30.9,31.5,30.6,30.85,0.25,361,2005,15.27,1.67,0,0.0
2005-09-22,1531,489043,15003708,30.65,30.85,30.6,30.6,-0.25,140,2005,15.15,1.65,0,0.0
2005-09-23,1531,512567,15796309,30.6,31.0,30.6,30.7,0.1,147,2005,15.2,1.66,0,0.0
2005-09-26,1531,780375,24115892,30.8,31.1,30.7,31.0,0.3,145,2005,15.35,1.67,0,0.0
2005-09-27,1531,279025,8595021,31.0,31.1,30.7,30.75,-0.25,108,2005,15.22,1.66,0,0.0
2005-09-28,1531,247700,7575712,30.6,30.65,30.5,30.65,-0.1,64,2005,15.17,1.66,0,0.0
2005-09-29,1531,393733,12169298,30.55,31.3,30.5,31.3,0.65,117,2005,15.5,1.69,0,0.0
2005-09-30,1531,211000,6610350,31.5,31.6,31.0,31.4,0.1,84,2005,15.54,1.7,0,0.0
2005-10-03,1531,791000,25167400,31.6,32.0,31.55,31.95,0.55,297,2005,15.82,1.73,0,0.0
2005-10-04,1531,184450,5835255,32.0,32.0,31.5,31.55,-0.4,110,2005,15.62,1.7,0,0.0
2005-10-05,1531,426180,13474738,31.5,31.85,31.4,31.4,-0.15,219,2005,15.54,1.7,0,0.0
2005-10-06,1531,296575,9198663,31.4,31.4,30.9,31.2,-0.2,105,2005,15.45,1.69,0,0.0
2005-10-07,1531,190839,5953589,31.3,31.3,31.15,31.15,-0.05,66,2005,15.42,1.68,0,0.0
2005-10-11,1531,45303,1410538,31.0,31.35,31.0,31.15,0.0,32,2005,15.42,1.68,0,0.0
2005-10-12,1531,171001,5298130,31.0,31.5,30.7,30.7,-0.45,111,2005,15.2,1.66,0,0.0
2005-10-13,1531,168310,5188956,31.3,31.3,30.6,30.85,0.15,87,2005,15.27,1.67,0,0.0
2005-10-14,1531,78859,2440809,30.7,31.2,30.7,30.8,-0.05,61,2005,15.25,1.66,0,0.0
2005-10-17,1531,247000,7549750,30.6,30.8,30.3,30.3,-0.5,128,2005,15.0,1.64,0,0.0
2005-10-18,1531,173300,5322691,30.2,31.0,30.2,30.5,0.2,76,2005,15.1,1.65,0,0.0
2005-10-19,1531,277362,8476331,30.3,30.9,30.1,30.7,0.2,129,2005,15.2,1.66,0,0.0
2005-10-20,1531,307000,9428150,30.9,30.95,30.3,30.45,-0.25,160,2005,15.07,1.65,0,0.0
2005-10-21,1531,140227,4302364,30.3,30.95,30.3,30.7,0.25,77,2005,15.2,1.66,0,0.0
2005-10-24,1531,319000,9881500,31.0,31.2,30.85,31.2,0.5,118,2005,15.45,1.69,0,0.0
2005-10-25,1531,292473,9181480,31.5,31.55,31.15,31.15,-0.05,137,2005,15.42,1.68,0,0.0
2005-10-26,1531,175000,5386600,30.8,31.2,30.4,31.0,-0.15,95,2005,15.35,1.67,0,0.0
2005-10-27,1531,91080,2826117,31.0,31.2,30.7,31.0,0.0,53,2005,15.35,1.67,0,0.0
2005-10-28,1531,320000,9991500,30.85,31.5,30.75,31.45,0.45,151,2005,15.57,1.7,0,0.0
2005-10-31,1531,356624,11162400,31.45,31.7,31.0,31.7,0.25,228,2005,15.69,1.71,0,0.0
2005-11-01,1531,749430,23338039,31.7,31.7,30.6,31.2,-0.5,209,2005,15.45,1.57,0,0.0
2005-11-02,1531,361375,11298905,31.4,31.6,30.85,31.5,0.3,110,2005,12.02,1.59,0,0.0
2005-11-03,1531,280300,8769451,31.05,31.7,31.0,31.0,-0.5,82,2005,11.83,1.56,0,0.0
2005-11-04,1531,877518,26920938,31.0,31.5,30.3,30.7,-0.3,410,2005,11.72,1.55,0,0.0
2005-11-07,1531,167550,5091897,30.7,30.7,30.1,30.35,-0.35,105,2005,11.58,1.53,0,0.0
2005-11-08,1531,236612,7156459,30.35,30.35,30.1,30.1,-0.25,126,2005,11.49,1.52,0,0.0
2005-11-09,1531,1091900,32710796,30.1,30.3,29.6,29.8,-0.3,386,2005,11.37,1.5,0,0.0
2005-11-10,1531,822905,24261079,29.8,29.8,29.3,29.4,-0.4,363,2005,11.22,1.48,0,0.0
2005-11-11,1531,750865,21776547,29.5,29.5,28.8,28.95,-0.45,339,2005,11.05,1.46,0,0.0
2005-11-14,1531,675802,19553893,28.95,29.0,28.7,29.0,0.05,216,2005,11.07,1.46,0,0.0
2005-11-15,1531,846349,24208765,29.0,29.05,28.1,28.3,-0.7,302,2005,10.8,1.43,0,0.0
2005-11-16,1531,931750,25837462,28.2,28.2,27.55,27.8,-0.5,423,2005,10.61,1.4,0,0.0
2005-11-17,1531,2233499,61085951,27.7,28.1,26.8,28.1,0.3,622,2005,10.73,1.42,0,0.0
2005-11-18,1531,1398997,39533462,28.2,28.5,27.85,28.25,0.15,503,2005,10.78,1.43,0,0.0
2005-11-21,1531,414821,11708969,28.5,28.6,27.9,27.9,-0.35,196,2005,10.65,1.41,0,0.0
2005-11-22,1531,746300,21094276,28.4,28.4,28.05,28.15,0.25,298,2005,10.74,1.42,0,0.0
2005-11-23,1531,418250,11779750,28.3,28.35,28.0,28.2,0.05,194,2005,10.76,1.42,0,0.0
2005-11-24,1531,467300,13183762,28.35,28.5,28.0,28.0,-0.2,226,2005,10.69,1.41,0,0.0
2005-11-25,1531,293930,8261207,28.0,28.3,27.8,28.1,0.1,162,2005,10.73,1.42,0,0.0
2005-11-28,1531,891300,25409281,28.5,28.7,28.2,28.65,0.55,432,2005,10.94,1.45,0,0.0
2005-11-29,1531,459853,13075908,28.6,28.6,28.2,28.3,-0.35,154,2005,10.8,1.43,0,0.0
2005-11-30,1531,415252,11786542,28.2,28.65,28.2,28.45,0.15,133,2005,10.86,1.44,0,0.0
2005-12-01,1531,1300352,37903557,29.0,29.35,28.7,29.2,0.75,510,2005,11.15,1.47,0,0.0
2005-12-02,1531,551100,15996954,29.35,29.5,28.75,29.0,-0.2,188,2005,11.07,1.46,0,0.0
2005-12-05,1531,1604400,47862035,29.5,30.2,29.15,29.7,0.7,422,2005,11.34,1.5,0,0.0
2005-12-06,1531,337390,10009972,29.8,29.9,29.55,29.7,0.0,128,2005,11.34,1.5,0,0.0
2005-12-07,1531,1209793,36289627,29.9,30.2,29.85,29.95,0.25,378,2005,11.43,1.51,0,0.0
2005-12-08,1531,548730,16216603,29.95,30.0,29.45,29.5,-0.45,195,2005,11.26,1.49,0,0.0
2005-12-09,1531,1313856,38724620,29.1,29.6,29.1,29.6,0.1,222,2005,11.3,1.49,0,0.0
2005-12-12,1531,1624701,48677443,29.6,30.15,29.6,30.05,0.45,369,2005,11.47,1.52,0,0.0
2005-12-13,1531,779471,23393805,30.1,30.15,29.95,30.0,-0.05,237,2005,11.45,1.51,0,0.0
2005-12-14,1531,783745,23562236,30.0,30.45,29.8,30.0,0.0,149,2005,11.45,1.51,0,0.0
2005-12-15,1531,151007,4515957,30.05,30.05,29.8,29.9,-0.1,74,2005,11.41,1.51,0,0.0
2005-12-16,1531,300905,9031522,29.9,30.25,29.9,29.9,0.0,144,2005,11.41,1.51,0,0.0
2005-12-19,1531,581469,17475461,30.0,30.2,29.85,29.9,0.0,202,2005,11.41,1.51,0,0.0
2005-12-20,1531,1249877,36927583,30.0,30.3,28.8,29.3,-0.6,399,2005,11.18,1.48,0,0.0
2005-12-21,1531,450678,13210612,29.1,29.55,29.1,29.2,-0.1,222,2005,11.15,1.47,0,0.0
2005-12-22,1531,767727,22695824,29.2,29.75,29.2,29.6,0.4,288,2005,11.3,1.49,0,0.0
2005-12-23,1531,1471500,43742946,29.6,30.1,29.3,30.1,0.5,443,2005,11.49,1.52,0,0.0
2005-12-26,1531,1329067,40224820,30.4,30.45,30.1,30.3,0.2,385,2005,11.56,1.53,0,0.0
2005-12-27,1531,939075,28533350,30.5,30.6,30.2,30.2,-0.1,266,2005,11.53,1.52,0,0.0
2005-12-28,1531,473464,14153025,30.0,30.15,29.6,29.8,-0.4,193,2005,11.37,1.5,0,0.0
2005-12-29,1531,1433172,42379503,29.8,29.9,29.35,29.4,-0.4,430,2005,11.22,1.48,0,0.0
2005-12-30,1531,1774400,52246898,29.2,29.8,29.15,29.8,0.4,344,2005,11.37,1.5,0,0.0
2006-01-02,1531,1312006,38548524,29.7,29.7,29.1,29.25,-0.55,243,2006,11.16,1.48,0,0.0
2006-01-03,1531,1177030,34431776,29.25,29.5,29.15,29.3,0.05,306,2006,11.18,1.48,0,0.0
2006-01-04,1531,1520869,44212652,29.5,29.5,28.9,28.9,-0.4,421,2006,11.03,1.46,0,0.0
2006-01-05,1531,721414,20986810,29.0,29.3,28.9,29.2,0.3,203,2006,11.15,1.47,0,0.0
2006-01-06,1531,1197217,35265561,29.2,29.7,29.2,29.55,0.35,365,2006,11.28,1.49,0,0.0
