date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROE,ROA
2019-01-14,4967,4108060,120297210,30.3,30.8,28.2,28.5,0.0,2270,2019,7.33,1.68,6.83,194.655,0.2709900900780498,0.59,0.73
2019-01-15,4967,2066994,57173233,28.4,28.4,27.0,27.5,-1.0,1213,2019,7.07,1.62,6.83,187.825,0.26148166586478494,0.59,0.73
2019-01-16,4967,1789000,48554900,27.15,28.7,26.45,28.7,1.2,1057,2019,7.38,1.69,6.83,196.021,0.27289177492070277,0.59,0.73
2019-01-17,4967,1045949,29024412,28.15,28.2,27.1,27.2,-1.5,645,2019,6.99,1.6,6.83,185.776,0.25862913860080544,0.59,0.73
2019-01-18,4967,735000,20170350,27.5,27.8,27.2,27.2,0.0,460,2019,6.99,1.6,6.83,185.776,0.25862913860080544,0.59,0.73
2019-01-21,4967,850800,22740979,27.5,27.5,26.3,26.4,-0.8,544,2019,6.79,1.55,6.83,180.312,0.25102239923019354,0.59,0.73
2019-01-22,4967,655760,17436968,26.6,27.1,26.05,27.1,0.7,372,2019,6.97,1.6,6.83,185.093,0.25767829617947896,0.59,0.73
2019-01-23,4967,1031224,28098058,27.5,27.5,27.0,27.1,0.0,603,2019,6.97,1.6,6.83,185.093,0.25767829617947896,0.59,0.73
2019-01-24,4967,478300,12837175,27.1,27.15,26.7,26.75,-0.35,323,2019,6.88,1.58,6.83,182.7025,0.2543503477048362,0.59,0.73
2019-01-25,4967,352500,9403175,26.65,26.85,26.55,26.65,-0.1,235,2019,6.85,1.57,6.83,182.0195,0.25339950528350974,0.59,0.73
2019-01-28,4967,345250,9207012,26.65,26.95,26.5,26.65,0.0,189,2019,6.85,1.57,6.83,182.0195,0.25339950528350974,0.59,0.73
2019-01-29,4967,381540,10037725,26.5,26.5,26.15,26.2,-0.45,216,2019,6.74,1.54,6.83,178.946,0.24912071438754055,0.59,0.73
