date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice,PSR,ROE,ROA
2016-03-22,2069,5037379,104330955,21.0,21.6,20.2,20.2,0.0,3063,2016,30.61,0.96,12.2,246.43999999999997,0.32882403377584823,6.54,11.36
2016-03-23,2069,1923100,37582290,20.0,20.1,19.0,19.0,-1.2,997,2016,28.79,0.9,12.2,231.79999999999998,0.3092899327594613,6.54,11.36
2016-03-24,2069,716000,13784800,19.0,19.4,18.85,19.3,0.3,370,2016,29.24,0.92,12.2,235.46,0.31417345801355806,6.54,11.36
2016-03-25,2069,303000,5862550,19.3,19.45,19.3,19.4,0.1,202,2016,29.39,0.92,12.2,236.67999999999998,0.31580129976492366,6.54,11.36
2016-03-28,2069,377000,7251400,19.5,19.5,19.1,19.1,-0.3,193,2016,28.94,0.91,12.2,233.02,0.31091777451082686,6.54,11.36
2016-03-29,2069,399200,7504550,19.1,19.1,18.5,18.6,-0.5,235,2016,28.18,0.88,12.2,226.92000000000002,0.302778565753999,6.54,11.36
2016-03-30,2069,303000,5560450,18.5,18.5,18.25,18.45,-0.15,176,2016,34.17,0.91,12.2,225.08999999999997,0.3003368031269505,6.54,11.36
2016-03-31,2069,374800,6777980,18.45,18.45,17.9,18.1,-0.35,155,2016,32.32,0.88,12.2,220.82,0.29463935699717103,6.54,11.36
2016-04-01,2069,194000,3495550,18.1,18.3,17.9,18.3,0.2,115,2016,32.68,0.88,12.2,223.26,0.2978950404999022,6.54,11.36
2016-04-06,2069,103000,1868050,18.05,18.3,18.0,18.3,0.0,65,2016,32.68,0.88,12.2,223.26,0.2989046722230322,6.54,11.36
2016-04-07,2069,449260,8354550,18.3,19.1,18.1,19.1,0.8,191,2016,34.11,0.92,12.2,233.02,0.31197154313988606,6.54,11.36
2016-04-08,2069,230000,4334050,19.1,19.1,18.55,18.55,-0.55,93,2016,33.13,0.9,12.2,226.31,0.30298806938454903,6.54,11.36
2016-04-11,2069,130000,2414700,18.55,18.8,18.5,18.65,0.1,55,2016,33.3,0.9,12.2,227.52999999999997,0.3046214282491557,6.54,11.36
2016-04-12,2069,211000,3944850,18.65,18.8,18.65,18.65,0.0,86,2016,33.3,0.9,12.2,227.52999999999997,0.3046214282491557,6.54,11.36
2016-04-13,2069,159000,2981400,18.65,18.9,18.65,18.8,0.15,82,2016,33.57,0.91,12.2,229.35999999999999,0.3070714665460659,6.54,11.36
2016-04-14,2069,162000,3059950,19.0,19.05,18.7,18.95,0.15,79,2016,33.84,0.92,12.2,231.18999999999997,0.3095215048429759,6.54,11.36
2016-04-15,2069,136000,2567100,18.7,19.0,18.7,18.9,-0.05,43,2016,33.75,0.91,12.2,230.57999999999996,0.30870482541067257,6.54,11.36
2016-04-18,2069,517000,9965000,18.9,19.5,18.9,19.2,0.3,192,2016,34.29,0.93,12.2,234.23999999999998,0.3136049020044928,6.54,11.36
2016-04-19,2069,215000,4096700,19.2,19.25,18.8,19.1,-0.1,91,2016,34.11,0.92,12.2,233.02,0.31197154313988606,6.54,11.36
2016-04-20,2069,187001,3556571,19.15,19.15,18.9,18.95,-0.15,72,2016,33.84,0.92,12.2,231.18999999999997,0.3095215048429759,6.54,11.36
2016-04-21,2069,176000,3350950,18.95,19.1,18.95,19.05,0.1,62,2016,34.02,0.92,12.2,232.41,0.3111548637075827,6.54,11.36
2016-04-22,2069,66000,1248600,19.05,19.05,18.8,18.9,-0.15,43,2016,33.75,0.91,12.2,230.57999999999996,0.30870482541067257,6.54,11.36
2016-04-25,2069,161001,3015970,18.9,18.95,18.55,18.55,-0.35,58,2016,33.13,0.9,12.2,226.31,0.30298806938454903,6.54,11.36
2016-04-26,2069,45000,836800,18.55,18.7,18.5,18.7,0.15,28,2016,33.39,0.9,12.2,228.14,0.3054381076814591,6.54,11.36
2016-04-27,2069,565003,10713910,18.7,19.35,18.5,19.1,0.4,183,2016,34.11,0.92,12.2,233.02,0.31197154313988606,6.54,11.36
2016-04-28,2069,1609015,31911412,19.4,20.45,19.4,20.0,0.9,632,2016,35.71,0.97,12.2,244.0,0.3266717729213467,6.54,11.36
2016-04-29,2069,520050,10246059,19.95,20.0,19.4,19.7,-0.3,271,2016,35.18,0.95,12.2,240.33999999999997,0.3217716963275264,6.54,11.36
2016-05-03,2069,273000,5240300,19.7,19.7,18.9,19.15,-0.55,117,2016,34.2,0.93,12.2,233.62999999999997,0.3158442611869676,6.54,11.36
2016-05-04,2069,344000,6381350,18.95,18.95,18.3,18.85,-0.3,119,2016,33.66,0.91,12.2,229.97,0.310896309314587,6.54,11.36
2016-05-05,2069,26000,482800,18.55,18.75,18.5,18.55,-0.3,19,2016,33.13,0.9,12.2,226.31,0.3059483574422063,6.54,11.36
2016-05-06,2069,41000,762450,18.5,18.75,18.5,18.55,0.0,22,2016,33.13,0.9,12.2,226.31,0.3059483574422063,6.54,11.36
2016-05-09,2069,152000,2787500,18.5,18.5,18.2,18.2,-0.35,51,2016,32.5,0.88,12.2,222.04,0.30017574692442883,6.54,11.36
2016-05-10,2069,226000,4063150,18.15,18.15,17.75,18.1,-0.1,58,2016,32.32,0.88,12.2,220.82,0.29852642963363524,6.54,11.36
2016-05-11,2069,47000,840950,18.05,18.05,17.85,17.85,-0.25,25,2016,31.88,0.86,12.2,217.77,0.29440313640665133,6.54,11.36
2016-05-12,2069,144050,2558985,17.85,18.05,17.6,17.6,-0.25,37,2016,31.43,0.85,12.2,214.72,0.29027984317966743,6.54,11.36
2016-05-13,2069,61000,1074650,17.5,17.7,17.5,17.7,0.1,36,2016,35.4,0.87,12.2,215.93999999999997,0.2919291604704609,6.54,11.36
